place_name,description,formatted_address,rating,user_ratings_total,types,geometry_lat,geometry_lng,google_map_url
かぶと塚公園,"✨魅力ポイント✨  
・歴史情緒あふれる兜塚古墳がある公園  
・木陰が多く、季節ごとの美しい自然が楽しめる  
・遊具コーナーやウォーキングコースが充実  
・運が良ければ天然記念物のカモシカに遭遇することも！  

こんな人におすすめ：  
・家族でのんびり遊びたい方  
・運動や散策を楽しみたい方  
・歴史や自然が好きな方  

🚗無料駐車場完備＆広々とした敷地で、気軽に訪れやすいのも魅力！見付地区のランドマークとしてぜひ訪れてみてください。",日本、〒438-0086 静岡県磐田市見付４０７５−１,4.0,703.0,"park, tourist_attraction, point_of_interest, establishment",34.7264516,137.8470725,https://www.google.com/maps/place/?q=place_id:ChIJ2TiXWSHkGmARw9IXTD3hGQo
和膳洋菜 みすとらる,"【和膳洋菜 みすとらる】  
✨魅力ポイント✨  
・掘り炬燵タイプの半個室やカーテン仕切りのテーブル席で落ち着ける空間  
・煮込みハンバーグやチキン南蛮など絶品メニューが豊富！  
・ボリューム満点のセットメニューでコスパも抜群  
・赤ちゃん連れにも優しい心配りが嬉しい  

こんな人におすすめ🌟  
・家族や友達とゆっくり食事を楽しみたい  
・地元食材を使った手作り料理を味わいたい  

📌駐車場完備＆PayPay対応！観光の合間にぜひ立ち寄ってみてください♪",日本、〒437-0021 静岡県袋井市広岡１６９７−１,4.0,272.0,"restaurant, food, point_of_interest, establishment",34.7524988,137.9435639,https://www.google.com/maps/place/?q=place_id:ChIJ2WvtKOD6GmAR-B1m5HWjKU8
珈琲屋らんぷ 磐田店,"魅力ポイント✨  
・木の温もりが感じられるアンティーク調の店内  
・こだわりのコーヒーと店舗限定のフルーツティーが楽しめる  
・モーニングセットは飲み物料金でボリューム満点のトースト付き！  
・季節限定ワッフルや手作りケーキも絶品  

こんな人におすすめ：  
・静かで落ち着いた空間でリラックスしたい方  
・家族で訪れる観光客やカフェ好きの方  

留意点：  
・敷地内に他のお店もあり賑わうことがあるので、早めの来店がおすすめ  

珈琲屋らんぷ磐田店は、心地よい香りと落ち着いた空間で旅の疲れを癒せる特別なカフェです。",日本、〒438-0086 静岡県磐田市見付６０３８−５ プラザ21 内,4.0,473.0,"cafe, store, food, point_of_interest, establishment",34.7374443,137.8587919,https://www.google.com/maps/place/?q=place_id:ChIJ2ZAA7BXkGmAR-rrgrj2hZ_8
カドヤサン,"### 魅力ポイント✨  
・果物屋さんならではの新鮮フルーツを使った絶品フルーツサンド  
・黒ごまやほうじ茶パンなどユニークで美味しい組み合わせも楽しめる  
・フレッシュな生ジュースやゼリー、アイスも充実  
・店内はおしゃれなフルーツアートでフォトジェニック！  

### こんな人におすすめ🍓  
・インスタ映えするスイーツが好き  
・自分へのご褒美や手土産を探している  
・フレッシュな果物を味わいたい  

「カドヤサン」は磐田市の隠れたフルーツパラダイス！新鮮な果物を使ったスイーツやドリンクが楽しめ、若者から観光客まで大満足間違いなしです♪",日本、〒438-0084 静岡県磐田市城之崎３丁目４−７,3.8,60.0,"grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment",34.7185738,137.8664707,https://www.google.com/maps/place/?q=place_id:ChIJ3Rn5k7TlGmARzDxYv11ZaQE
アオバ写真館,"魅力ポイント✨  
・プロの技術で美しい証明写真が撮れる  
・仕上がりが早く、たった10分で受け取り可能  
・リーズナブルな価格でハイクオリティ  

こんな人におすすめ：  
・大切な書類に添付する写真を撮りたい  
・短時間で高品質な写真が欲しい  
・磐田市で信頼できる写真館を探している  

留意点：  
・事前に予約するとスムーズ  

静岡県磐田市の「アオバ写真館」は、証明写真のクオリティとスピードで評判の写真館です！観光の記念写真にもぴったりなので、磐田を訪れた際にはぜひご利用ください。",日本、〒438-0811 静岡県磐田市一言２５８０−１１,5.0,3.0,"point_of_interest, establishment",34.7252768,137.8439037,https://www.google.com/maps/place/?q=place_id:ChIJ3afpvyDkGmARQyrYQw9NkUg
桶ヶ谷沼 菜の花畑,"桶ヶ谷沼 菜の花畑🌼  
魅力ポイント✨  
・春には一面に広がる菜の花が満開！写真映え抜群の絶景スポット  
・近くに駐車場もあるのでアクセスが便利  
・桶ヶ谷沼の周りを散策すれば自然を満喫できる癒しの時間  

こんな人におすすめ：  
・季節の花を楽しみたい  
・写真や風景が好きな方  
・自然の中でリフレッシュしたい  

留意点：  
・訪れるタイミングによって花の咲き具合が異なるので事前チェックがおすすめ",日本、〒438-0016 静岡県磐田市岩井１７−２,4.0,21.0,"tourist_attraction, point_of_interest, establishment",34.7402041,137.8861229,https://www.google.com/maps/place/?q=place_id:ChIJ47-RFF3lGmARJ5VKju6MVRg
Arvan Coffee,"魅力ポイント✨  
・店主こだわりの自家焙煎コーヒーを一杯ずつ丁寧にハンドドリップ  
・半屋外の開放感ある空間でリラックスできる  
・デカフェやベーグル、パウンドケーキなどもありコーヒーが苦手な方も楽しめる  

こんな人におすすめ：  
・のんびりとした時間を過ごしたい方  
・スペシャリティコーヒーを気軽に楽しみたい方  
・磐田でおしゃれなカフェタイムを探している観光客  

留意点：  
・人気店なので予約や出店情報をチェックしておくのがおすすめ",日本、〒438-0804 静岡県磐田市加茂８９９−１０,4.7,12.0,"cafe, store, food, point_of_interest, establishment",34.7385101,137.8267298,https://www.google.com/maps/place/?q=place_id:ChIJ49BJPbXnGmARJmT_6USxz6I
旧赤松家記念館,"✨魅力ポイント✨  
・赤レンガと瓦屋根の美しい建物  
・四季折々の花々が彩る庭園  
・明治期の海軍中将、赤松則良ゆかりの文化財や資料を展示  

📍こんな人におすすめ：  
・歴史や文化に興味がある方  
・レトロな建物が好きな方  
・静かで落ち着いた観光スポットを探している方  

📖紹介文：  
旧赤松家記念館は、幕末から明治にかけて活躍した海軍中将・赤松則良の邸宅跡です。赤レンガの建物や庭園は美しく、文化財や展示物から彼の功績を学べます。無料で見学でき、心温まる丁寧な案内も魅力。静岡・磐田ならではの歴史に触れられる絶好のスポットです！",日本、〒438-0086 静岡県磐田市見付３８８４−１０,4.2,153.0,"tourist_attraction, museum, point_of_interest, establishment",34.7319214,137.8492859,https://www.google.com/maps/place/?q=place_id:ChIJ4yKVkxjkGmARyLrOLqujOLI
味匠 天宏,"### 味匠 天宏の紹介文🌟

磐田市で天ぷらや海鮮料理を楽しむなら「味匠 天宏」がおすすめ！落ち着いた和風の店内では、掘りごたつ式の席でゆっくり食事を満喫できます。名物の「かき揚げ丼」は大ボリュームでインパクト抜群！エビ天や牡蠣の大葉揚げなど、季節の食材を使ったメニューも魅力です。価格もリーズナブルで、観光やドライブの途中にぴったり。磐田で美味しい天ぷらを味わいたい方、ぜひ訪れてみてください✨

こんな人におすすめ：
・和風料理が好き
・ゆっくりくつろぎたい
・ボリューム満点の食事を楽しみたい",日本、〒438-0086 静岡県磐田市見付３８８４−５,4.1,410.0,"restaurant, food, point_of_interest, establishment",34.7313454,137.8500096,https://www.google.com/maps/place/?q=place_id:ChIJ56iOgRjkGmARp2XHZMPugTA
シャトレーゼ 磐田店,"魅力ポイント✨  
・種類豊富なスイーツが勢揃い！アイスやケーキ、和菓子、洋菓子まで楽しめる🎂🍨  
・話題の「チョコバッキー」は濃厚な味わいとバキバキ食感が人気！抹茶やエスプレッソなどフレーバーも充実🌟  
・広々とした店内と駐車場で、ゆったり買い物ができる環境🚗💕

こんな人におすすめ：  
・地元ならではのお土産を探している方  
・アイスやスイーツが好きな若者や家族連れ  
・リーズナブルで美味しいスイーツを楽しみたい方  

店舗の清潔感とスタッフの丁寧な対応も高評価！観光の合間に立ち寄ってみてはいかがですか？😊",日本、〒438-0078 静岡県磐田市中泉１９３６−１,3.9,263.0,"bakery, food, point_of_interest, store, establishment",34.7067877,137.8499085,https://www.google.com/maps/place/?q=place_id:ChIJ5RSpCNHlGmARgKGVTOxaYHg
自然ふれあい広場,"### 自然ふれあい広場 🌿

魅力ポイント✨  
・爽快な景色と広がる絶景！浜松市や磐田市、さらには海まで一望できます  
・季節によって美しい花々が楽しめる高台の広場  
・東屋でのんびりしたり、持参したお弁当を広げたりできる憩いのスポット  

こんな人におすすめ：  
・自然や絶景が好きな人  
・サイクリングやハイキングで体を動かしたい人  
・静かでリフレッシュできる場所を探している人  

留意点：  
・駐車場は「獅子ヶ鼻公園」を利用  
・坂道が多いので動きやすい靴で訪れるのがおすすめ  

企業と地元が協力して守るこの広場、自然の魅力を肌で感じられる特別な場所です！",日本、〒438-0103 静岡県磐田市大平,4.4,28.0,"park, point_of_interest, establishment",34.85204179999999,137.8804239,https://www.google.com/maps/place/?q=place_id:ChIJ6-WrvJ8dG2ARvNtxrTlSz0k
グランドカフェ,"魅力ポイント✨  
・アンティーク調の落ち着いた雰囲気で居心地抜群  
・ボリューム満点のランチセットが楽しめる（オムライス＋スープ＋サラダ＋パスタ＋アイス）  
・種類豊富なケーキとドリンク付きセットがとってもお得  

こんな人におすすめ：  
・レトロな空間でゆっくり過ごしたい方  
・おしゃれで美味しいランチやスイーツを楽しみたい方  

磐田市での観光やお出かけの際、グランドカフェは心もお腹も満たしてくれる特別なスポットです。予約して行くとより安心ですよ！",日本、〒438-0078 静岡県磐田市中泉 375 リベーラ磐田110,3.4,9.0,"cafe, store, food, point_of_interest, establishment",34.7118308,137.8519401,https://www.google.com/maps/place/?q=place_id:ChIJ6-nlkNLlGmARci22QEKUFAA
スーホのおうち,"魅力ポイント✨  
・本物のモンゴルのゲル（パオ）で食事が楽しめる  
・ラム串やホーショールなど、日本では珍しいモンゴル料理が味わえる  
・看板ヤギや看板犬が迎えてくれる、動物好きにも嬉しいスポット  

こんな人におすすめ：  
・異国文化やユニークな体験を楽しみたい  
・家族やペットとリラックスした時間を過ごしたい  

静岡県磐田市にある「スーホのおうち」は、まるでモンゴルに瞬間移動したかのような特別な時間を提供します！ゲルの中での食事は非日常感たっぷり。香辛料が効いたモンゴル料理や限定メニューも魅力。ペット同伴もOKなので、家族全員で楽しめる素敵な場所です！",日本、〒438-0815 静岡県磐田市中田１４４,4.3,29.0,"cafe, restaurant, food, point_of_interest, establishment",34.7140645,137.8278982,https://www.google.com/maps/place/?q=place_id:ChIJ626LPuvlGmARGa0TNPX4X1E
掛塚 貴船神社,"✨掛塚 貴船神社✨  
室町時代創建の歴史ある神社で、水の神様「タカオカミノカミ」を祀っています。天竜川河口の守護神として崇敬され、毎年の「掛塚まつり」では豪華な屋台やお囃子が楽しめます！境内は清らかな雰囲気で、写真映えスポットもたくさん。昔の港町の歴史に触れながら、静かに散策するのもおすすめです。  

🌟こんな人におすすめ  
・歴史や文化に興味がある  
・地元のお祭りや伝統を楽しみたい  
・神社巡りや写真撮影が好き",日本、〒438-0234 静岡県磐田市掛塚９２７−１,4.1,79.0,"tourist_attraction, place_of_worship, point_of_interest, establishment",34.6750504,137.7981626,https://www.google.com/maps/place/?q=place_id:ChIJ62Ij1bXnGmAR0hn44SSmqTs
蟻の戸渡り,"### 魅力ポイント✨  
・スリル満点！幅30cmの岩場「蟻の戸渡り」  
・断崖絶壁からの絶景は冒険心をくすぐる！  
・自然豊かなトレッキングコースでリフレッシュ  

### こんな人におすすめ：  
・アクティブな観光が好きな方  
・自然を満喫したい方  
・冒険心を試したい方  

獅子ヶ鼻公園のトレッキングコースにある「蟻の戸渡り」は、スリルと絶景が楽しめる静岡県磐田市の隠れた名所。足元に細心の注意を払いながら挑戦してみては？周辺の自然も見どころ満載です！",日本、〒438-0103 静岡県磐田市大平,4.5,19.0,"point_of_interest, establishment",34.8565261,137.8773035,https://www.google.com/maps/place/?q=place_id:ChIJ6bC2qqYdG2AR8h_bXTI4h_k
ONE HAND STAND,"✨魅力ポイント✨  
・自家製ソーセージ＆全粒粉パンが絶品のホットドッグ専門店！  
・人気のチリドッグや土日限定のブランチプレートもおすすめ  
・古い倉庫をリノベーションしたおしゃれ空間で特別なひと時  

🌟こんな人におすすめ🌟  
・磐田のカフェ巡りが好き  
・インスタ映えするグルメを探している  
・手軽で満足感のあるランチを楽しみたい  

📍アクセス  
磐田駅近くジュビロード沿い♪駐車場も完備！",日本、〒438-0078 静岡県磐田市中泉２１９−２,4.4,21.0,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",34.714931,137.8525283,https://www.google.com/maps/place/?q=place_id:ChIJ6bqdsYvlGmARvq5iDltO0As
カフェ カマラ,"✨魅力ポイント✨  
・築130年の古民家を活かした隠れ家的カフェ  
・センス抜群のアンティーク調インテリアとエスニック風BGM  
・季節で変わる野菜たっぷりのランチ＆スイーツ  
・土日限定「ローストビーフ丼」や平日限定「キッシュ」が人気！  

🎯こんな人におすすめ🎯  
・おしゃれな空間で美味しいランチを楽しみたい  
・古民家の懐かしさとモダンなセンスを味わいたい  

📌ポイント  
予約必須！LINEで簡単に予約OK✨駐車場は乗り合わせがおすすめです。",日本、〒438-0078 静岡県磐田市中泉１３４５−２,4.1,89.0,"cafe, food, point_of_interest, establishment",34.7120998,137.8475414,https://www.google.com/maps/place/?q=place_id:ChIJ6dvvSevlGmARPPBrU_0mEZE
未来へと,"魅力ポイント✨  
・2002年に南佳織さんが制作した芸術作品  
・豊田町の自然と人々の優しい心を表現  
・未来へ続く希望と温かさを感じさせるデザイン  

こんな人におすすめ：  
・アートや自然が好きな人  
・地域の文化や歴史に触れたい人  

磐田市豊田町に設置された「未来へと」は、温かな雰囲気と希望を感じさせる芸術作品。豊田町の豊かな自然と人々の優しさを表現しており、訪れる人々に癒しと前向きな気持ちを届けてくれます。散策がてらぜひ立ち寄ってみてください！",日本、〒438-0831 静岡県磐田市上新屋３１１,5.0,1.0,"point_of_interest, establishment",34.731829,137.823208,https://www.google.com/maps/place/?q=place_id:ChIJ71HtZ_jnGmARMCZGEmetnw8
バーンビレッジ,"魅力ポイント✨  
・オールドアメリカンな街並みで非日常感を満喫  
・おしゃれな服屋やカフェ、スイーツ店が充実  
・おすすめはクレープを片手に敷地内や公園でのんびり  

こんな人におすすめ：  
・海外風の雰囲気が好き  
・リラックスしながら散策やお買い物を楽しみたい  

静岡県磐田市にある「バーンビレッジ」は、アンティークな建物が並ぶショッピングモール。オシャレなカフェでランチを楽しんだり、クレープを片手に公園で過ごしたりと、日常から少し離れてゆったりした時間を過ごせます。観光の合間にリフレッシュしたい方にぴったりのスポットです！",日本、〒438-0071 静岡県磐田市今之浦２丁目８−２,3.7,91.0,"shopping_mall, point_of_interest, establishment",34.7172688,137.8625129,https://www.google.com/maps/place/?q=place_id:ChIJ74C4oMrlGmARS1-W4AHSYjM
お食事処やまに,"**魅力ポイント✨**  
・地元食材を活かした豪華な御膳や天丼が楽しめる  
・女将さんの明るいおもてなしと清潔感ある店内  
・福田港の新鮮な海鮮が味わえる豊富なメニュー  

**こんな人におすすめ：**  
・地元の味覚を贅沢に楽しみたい  
・ゆったりと落ち着いた雰囲気で食事をしたい  
・SNS映えするボリューム満点の料理を探している  

**ポイント：**  
・靴を脱いで上がるアットホームなスタイル  
・事前予約や開店直後の来店がおすすめ  
・PayPay対応＆駐車場完備で観光客も安心",日本、〒437-1213 静岡県磐田市塩新田５３,4.1,117.0,"restaurant, food, point_of_interest, establishment",34.6739831,137.8607607,https://www.google.com/maps/place/?q=place_id:ChIJ8x07D13vGmARfzQ-34vWJt0
敷地 里山公園,"🌸敷地里山公園の魅力ポイント✨  
・季節ごとに鮮やかに咲く花々（寒桜、花桃、紫陽花、カサブランカなど）  
・アップダウンのある散策路で適度な運動と絶景を楽しめる  
・鳥の囀りや公園を見渡せる景観で癒しのひととき  
・無料で楽しめる充実の自然空間  

こんな人におすすめ：  
・自然の中でリフレッシュしたい  
・美しい花や景色が好き  
・軽い運動を兼ねて観光したい  

💡ポイント：休憩スペースあり！お弁当持参でピクニックも◎  
地元の方々の愛情で維持された公園、ぜひ訪れてみては？",日本、〒438-0106 静岡県磐田市敷地８００,4.0,101.0,"park, tourist_attraction, point_of_interest, establishment",34.8366348,137.8643421,https://www.google.com/maps/place/?q=place_id:ChIJ9cXCy5IdG2AReS9E7Kie4wE
ピッツェリア ウーノウーノ,"魅力ポイント✨  
・石窯で焼き上げる本格ピザ  
・もちもち香ばしい生地とフレッシュな具材の絶妙な組み合わせ  
・カジュアルで居心地の良い店内、明るく丁寧な接客  

こんな人におすすめ：  
・焼きたてピザを楽しみたい  
・家族や友人と気軽に食事をしたい  
・地元の食材を使った料理を味わいたい  

磐田市にある「ピッツェリア ウーノウーノ」は、石窯で焼き上げた絶品ピザが自慢のお店！もちもちの生地と素材の味を活かしたトッピングはどれも美味しく、最後までペロリと食べられます。店員さんも親切で初心者にも安心。観光の合間に立ち寄ってみてはいかがでしょう？駐車場は少なめなので、事前の計画がおすすめです！",日本、〒438-0088 静岡県磐田市富士見台１−１,4.5,186.0,"restaurant, point_of_interest, food, establishment",34.725569,137.8689782,https://www.google.com/maps/place/?q=place_id:ChIJA-o3J0zkGmARhRPwDkhpQUc
豊田熊野記念公園,"✨魅力ポイント✨  
・春には見事な藤棚が楽しめる！  
・能舞台や展示室があり、歴史と文化を感じるスポット  
・公園内に遊具もあり、子ども連れにもおすすめ  

🚶こんな人におすすめ：  
・自然や季節の花を楽しみたい方  
・歴史的な雰囲気が好きな方  
・熊野の長藤の観光ついでに立ち寄りたい方  

豊田熊野記念公園は、静岡県磐田市にある落ち着いた雰囲気の公園。春には美しい藤棚が見頃を迎え、隣接する行興寺の「熊野の長藤」とセットで楽しむのがおすすめです。無料駐車場完備でアクセスも便利！",日本、〒438-0805 静岡県磐田市池田３３０,4.0,60.0,"tourist_attraction, park, point_of_interest, establishment",34.7377212,137.8150709,https://www.google.com/maps/place/?q=place_id:ChIJAQAQTzLhGmARdSA-fn3Htos
レッドローズ,"**魅力ポイント✨**  
・黒猫が迎えてくれる癒しの空間  
・鉄道模型やバイクの展示で遊び心いっぱい  
・ボリューム満点のカレーやふわふわパンケーキが絶品  
・無人販売やゲーム、撮影スポットも充実  

**こんな人におすすめ:**  
・猫好きさんや鉄道好きさん  
・美味しい食事と楽しい時間を満喫したい方  
・のんびり過ごしながら趣味を楽しみたい  

静岡県磐田市の「レッドローズ」は、黒猫と鉄道模型が楽しめるユニークなカフェ。美味しい料理とともに、猫と触れ合ったり撮影したり、遊び心あふれる空間を堪能できます！ぜひ訪れてみてください🐾✨",日本、〒438-0235 静岡県磐田市白羽３８７−３,4.4,101.0,"cafe, food, point_of_interest, establishment",34.67338489999999,137.804781,https://www.google.com/maps/place/?q=place_id:ChIJAQAcHjXmGmARqqZnAxUusIk
鵜野商店,"✨**魅力ポイント**✨  
・昭和レトロな雰囲気が魅力の老舗和菓子店  
・みたらし団子が驚きの1本50円！柔らかくて絶品  
・おはぎや大福、すあまなど手作り和菓子が豊富  

🎯**こんな人におすすめ**  
・手軽に美味しい和菓子を楽しみたい  
・コスパ抜群の手土産を探している  
・地元らしいレトロな雰囲気を味わいたい  

🚶‍♀️**ポイント**  
知る人ぞ知る磐田の名店「鵜野商店」。地元で長く愛される自家製和菓子はどれも優しい甘さで、観光の途中にぜひ立ち寄りたいスポットです！",日本、〒438-0074 静岡県磐田市二之宮２−１,4.4,38.0,"food, point_of_interest, store, establishment",34.7166546,137.8566016,https://www.google.com/maps/place/?q=place_id:ChIJAQCURjPkGmAReUjoLycLeQk
喫茶軽食ねこになりたい,"【喫茶軽食ねこになりたい🐾】  
静岡県磐田市の住宅街にひっそり佇む隠れ家的カフェ。アンティークな雰囲気漂う店内で、絶品のスパイシーチキンカレーやサクサクのワッフルが楽しめます。ピンクが可愛い「いちごみるく」や、日替わりホットサンドも人気！優しい店員さんと時々顔を出す猫ちゃんたちに癒されます。メイド風の店員さんのサービスも魅力的✨テイクアウトも可能なので、お土産にもぴったり。観光の合間に、心温まるひとときを過ごしてみませんか？  

こんな人におすすめ：  
・レトロでおしゃれな雰囲気が好き  
・猫好き＆隠れ家カフェを探している人",日本、〒438-0834 静岡県磐田市森下２７８−５,4.4,128.0,"restaurant, food, point_of_interest, establishment",34.7203169,137.8240504,https://www.google.com/maps/place/?q=place_id:ChIJATxS4L_mGmARKt8le0JofHc
